업소명,업종명,소재지도로명주소,위도,경도
제이드,민박,제주특별자치도 서귀포시 남원읍 태위로510번길 79-21,33.27235 ,126.69545 
풍 경,민박,제주특별자치도 서귀포시 남원읍 태위로510번길 79-24,33.27278 ,126.69488 
비로소433,민박,제주특별자치도 서귀포시 남원읍 태위로510번길 79-33,33.27188 ,126.69500 
돌담길,민박,제주특별자치도 서귀포시 남원읍 태위로67번길 24-15,33.27578 ,126.65616 
꿈꾸는 제주,민박,제주특별자치도 서귀포시 남원읍 태위로894번길 32,33.28204 ,126.74175 
하르방 물레방아,민박,제주특별자치도 서귀포시 남원읍 태위로894번길 42,33.28149 ,126.74072 
하르방 고을,민박,제주특별자치도 서귀포시 남원읍 태위로894번길 42,33.28149 ,126.74072 
비하인드 제주홈,민박,제주특별자치도 서귀포시 남원읍 태위로908번길 14-5,33.28391 ,126.74244 
태흥 예술극장,민박,제주특별자치도 서귀포시 남원읍 태위로912번길 28,33.28434 ,126.74481 
루프탑 정원,민박,제주특별자치도 서귀포시 남원읍 태위로912번길 37,33.28350 ,126.74531 
후박낭,민박,제주특별자치도 서귀포시 남원읍 태위로940번길 25-9,33.28661 ,126.74795 
빌라노하마다,민박,제주특별자치도 서귀포시 남원읍 태위로977번길 26,33.28868 ,126.74615 
쇠소깍 천일펜션,민박,제주특별자치도 서귀포시 남원읍 하례로 100,33.25890 ,126.62444 
하루,민박,제주특별자치도 서귀포시 남원읍 하례로 188-5,33.26522 ,126.62279 
그랜맘,민박,제주특별자치도 서귀포시 남원읍 하례로 222-1,33.26751 ,126.62319 
밸리통나무 빌리지,민박,제주특별자치도 서귀포시 남원읍 하례로 292,33.27320 ,126.62321 
놀소랑,민박,제주특별자치도 서귀포시 남원읍 하례로 306,33.27454 ,126.62273 
예뜰,민박,제주특별자치도 서귀포시 남원읍 하례로 379-1,33.28084 ,126.62164 
옐로우하우스,민박,제주특별자치도 서귀포시 남원읍 하례로 94-17,33.25871 ,126.62598 
오과장,민박,제주특별자치도 서귀포시 남원읍 하례로232번길 12,33.26804 ,126.62476 
하품,민박,제주특별자치도 서귀포시 남원읍 하례로232번길 59,33.26908 ,126.63000 
행복,민박,제주특별자치도 서귀포시 남원읍 하례로339,33.27723 ,126.62254 
뜨레 향,민박,제주특별자치도 서귀포시 남원읍 하례망장포로 27-8,33.26265 ,126.63798 
노루,민박,제주특별자치도 서귀포시 남원읍 하례망장포로 30,33.26233 ,126.63723 
옵데강,민박,제주특별자치도 서귀포시 남원읍 하례망장포로 30-6,33.26194 ,126.63723 
글로리힐,민박,제주특별자치도 서귀포시 남원읍 하례망장포로 31,33.26250 ,126.63748 
인디언썸머,민박,제주특별자치도 서귀포시 남원읍 하례망장포로26번길 3,33.26236 ,126.63672 
하례생태민박,민박,제주특별자치도 서귀포시 남원읍 하신로 173-6,33.26933 ,126.62989 
제주 은빌레,민박,제주특별자치도 서귀포시 남원읍 한신로 247-3,33.31171 ,126.71686 
돌담한길,민박,제주특별자치도 서귀포시 남원읍 한신로 55,33.31399 ,126.69901 
큰소낭 작은돌집,민박,제주특별자치도 서귀포시 남원읍 한신로 73-14,33.31537 ,126.70188 
하랑,민박,제주특별자치도 서귀포시 남원읍 한신로143번길 133,33.32020 ,126.70210 
빛고을민박,민박,제주특별자치도 서귀포시 남원읍 한신로143번길 133-4,33.32017 ,126.70166 
솔이하우스,민박,제주특별자치도 서귀포시 남원읍 한신로143번길 137,33.32054 ,126.70175 
제주하늘바람,민박,제주특별자치도 서귀포시 남원읍 한신로531번길 26,33.32089 ,126.74543 
논짓물비치하우스,민박,제주특별자치도 서귀포시 논짓물로 15,33.23724 ,126.38715 
머물다,민박,제주특별자치도 서귀포시 논짓물로 48번길 16-6,33.24163 ,126.38760 
stay in jeju,민박,제주특별자치도 서귀포시 논짓물로 48번길 16-8,33.24182 ,126.38757 
물소낭밧작은집,민박,제주특별자치도 서귀포시 논짓물로 64,33.24069 ,126.38517 
펜션 연리,민박,제주특별자치도 서귀포시 논짓물로48번길 3,33.24041 ,126.38639 
솔하우스,민박,제주특별자치도 서귀포시 태평로120번길 26,33.24218 ,126.53333 
오소소,민박,제주특별자치도 서귀포시 대정읍 비자낭로 23,33.28535 ,126.18395 
별장민박,민박,제주특별자치도 서귀포시 대정읍 가파로 241,33.17436 ,126.27121 
가파도상동민박,민박,제주특별자치도 서귀포시 대정읍 가파로 255,33.17414 ,126.27002 
매부리민박,민박,제주특별자치도 서귀포시 대정읍 가파로 257-7,33.17414 ,126.27043 
블루오션,민박,제주특별자치도 서귀포시 대정읍 가파로 53,33.16542 ,126.27225 
맨도롱 민박,민박,제주특별자치도 서귀포시 대정읍 가파로 93,33.16786 ,126.27522 
가파도민박,민박,제주특별자치도 서귀포시 대정읍 가파로67번길 5,33.16620 ,126.27303 
가파민박,민박,제주특별자치도 서귀포시 대정읍 가파로67번길 7,33.16636 ,126.27298 
어촌민박,민박,제주특별자치도 서귀포시 대정읍 가파로67번길 89,33.17290 ,126.26961 
가파도올레길,민박,제주특별자치도 서귀포시 대정읍 가파로67번길 95-2,33.17352 ,126.26931 
베짱이 하우스,민박,제주특별자치도 서귀포시 대정읍 노을해안로 24,33.24254 ,126.22441 
제주에펜션103,민박,제주특별자치도 서귀포시 대정읍 노을해안로 342-66,33.25369 ,126.19632 
오들랑,민박,제주특별자치도 서귀포시 대정읍 노을해안로 342-70,33.25361 ,126.19594 
드보니,민박,제주특별자치도 서귀포시 대정읍 노을해안로 342-72,33.25346 ,126.19587 
마당돌 펜션,민박,제주특별자치도 서귀포시 대정읍 노을해안로 410,33.25609 ,126.19080 
노을담은뜨락,민박,제주특별자치도 서귀포시 대정읍 노을해안로 416,33.25624 ,126.19041 
그림같은집,민박,제주특별자치도 서귀포시 대정읍 노을해안로 600,33.26862 ,126.17915 
그림같은펜션,민박,제주특별자치도 서귀포시 대정읍 노을해안로 602,33.26880 ,126.17897 
제주엔,민박,제주특별자치도 서귀포시 대정읍 노을해안로 614,33.26960 ,126.17782 
로하스,민박,제주특별자치도 서귀포시 대정읍 노을해안로 616,33.26965 ,126.17771 
라뷰테제주,민박,제주특별자치도 서귀포시 대정읍 노을해안로 620-2,33.26974 ,126.17756 
노을과어울림,민박,제주특별자치도 서귀포시 대정읍 노을해안로 638-2,33.27082 ,126.17617 
리썸,민박,제주특별자치도 서귀포시 대정읍 노을해안로 708,33.27563 ,126.17227 
바당 미술관,민박,제주특별자치도 서귀포시 대정읍 노을해안로 98,33.24386 ,126.21857 
네모다방,민박,제주특별자치도 서귀포시 대정읍 대한로88번길 82-7,33.22994 ,126.25338 
고인옥할망민박,민박,제주특별자치도 서귀포시 대정읍 도원남로146,33.27591 ,126.19112 
꽃갈피,민박,제주특별자치도 서귀포시 대정읍 도원남로151번길4,33.27676 ,126.19114 
공유게스트하우스,민박,제주특별자치도 서귀포시 대정읍 도원로 20,33.27642 ,126.17239 
무릉도원올레,민박,제주특별자치도 서귀포시 대정읍 도원로 215,33.27829 ,126.19156 
영오네민박,민박,제주특별자치도 서귀포시 대정읍 도원로 223-3,33.27894 ,126.19214 
공기밥,민박,제주특별자치도 서귀포시 대정읍 도원로 225-4,33.27921 ,126.19235 
